district_name,county_name,need_score,birth_cohort,subsidy_cost,averted_societal,net_benefit,benefit_cost_ratio
Szekszárdi,Tolna,0.42832784173539923,495.9520200169014,12200419.692415774,11398219.183727836,-802200.5086879376,0.934248121875134
Tolnai,Tolna,0.42768162170852325,159.9021029964263,3933591.733712087,3674950.6894440693,-258641.04426801763,0.934248121875134
Hatvani,Heves,0.4270660224097903,498.81189811989657,12270772.693749456,5555982.960200928,-6714789.733548528,0.4527818336192521
Dombóvári,Tolna,0.4218622516074978,268.86651750715254,6614116.330675953,6179225.759797661,-434890.57087829243,0.9342481218751338
Pétervásárai,Heves,0.41865219862968156,169.89616133437946,4179445.568825735,1892377.0281647742,-2287068.5406609606,0.45278183361925206
Siklósi,Baranya,0.415792868416789,289.58882709874143,7123885.146629039,5124025.840227752,-1999859.3064012872,0.7192740667151823
Orosházi,Békés,0.4072037119541874,390.6861194029851,9610878.537313433,7594579.976767725,-2016298.560545708,0.7902066337934043
Hevesi,Heves,0.40175154812378544,310.5437320198762,7639375.807688953,3458970.58591196,-4180405.2217769935,0.45278183361925217
Komáromi,Komárom-Esztergom,0.3962524313829443,379.98741344853346,9347690.370833922,6397605.142961322,-2950085.2278726,0.6844049052932615
Sárbogárdi,Fejér,0.39277494848280925,256.9380838007645,6320676.861498806,3232846.2463142653,-3087830.6151845404,0.511471527045866
Békési,Békés,0.38355154020343435,290.6381027295953,7149697.3271480445,5649738.257527354,-1499959.0696206903,0.790206633793404
Tiszavasvári,Szabolcs-Szatmár-Bereg,0.3799492439108059,270.0858565637162,6644112.071467419,2151867.661026187,-4492244.410441233,0.32387588256784555
Kalocsai,Bács-Kiskun,0.3798370582630865,438.03473143689996,10775654.393347738,4730286.547289068,-6045367.84605867,0.43897905172323193
Vasvári,Vas,0.3738877318189109,114.67977871376868,2821122.5563587095,2892952.660152385,71830.10379367555,1.0254615325490817
Kunszentmiklósi,Bács-Kiskun,0.3734024062703567,279.69979738239965,6880615.015607032,3020445.8548238045,-3860169.1607832275,0.43897905172323176
Szentgotthárdi,Vas,0.3668319750579592,126.00382979680006,3099694.2130012815,3178617.178097813,78922.96509653144,1.0254615325490815
Kőszegi,Vas,0.36247548334822943,232.1837811988449,5711721.017491585,5857150.188089721,145429.17059813626,1.0254615325490817
Sárvári,Vas,0.36008299869586075,337.7255666525655,8308048.93965311,8519584.59814945,211535.65849634074,1.0254615325490817
Fehérgyarmati,Szabolcs-Szatmár-Bereg,0.3592482169234059,373.5529853308184,9189403.439138131,2976226.149122858,-6213177.290015273,0.3238758825678456
Lenti,Zala,0.35211836185307743,143.88748345020844,3539632.0928751277,1201756.0276816674,-2337876.0651934603,0.3395143891085924
Bonyhádi,Tolna,0.34505897544620484,263.32820692955397,6477873.890467027,6051941.515912788,-425932.3745542392,0.9342481218751341
Füzesabonyi,Heves,0.3440411562935149,272.88710661668557,6713022.822770464,3039534.782821899,-3673488.0399485654,0.45278183361925217
Csengeri,Szabolcs-Szatmár-Bereg,0.33816924241633706,130.2833408550015,3204970.185033037,1038012.5472812062,-2166957.6377518307,0.3238758825678456
Enyingi,Fejér,0.33813299225020793,194.95284486167455,4795839.983597194,2452935.599878077,-2342904.383719117,0.5114715270458658
Tatabányai,Komárom-Esztergom,0.33387449712730427,827.6846088109226,20361041.376748692,13935196.595125865,-6425844.781622827,0.6844049052932614
Békéscsabai,Békés,0.3334388071356007,650.27053717897,15996655.214602662,12640663.069084875,-3355992.145517787,0.7902066337934042
Oroszlányi,Komárom-Esztergom,0.33138635065649497,252.16613104009795,6203286.82358641,4245559.931003593,-1957726.892582817,0.6844049052932614
Nyírbátori,Szabolcs-Szatmár-Bereg,0.32438143796763336,440.70131108462454,10841252.252681762,3511220.1414779495,-7330032.111203812,0.32387588256784555
Baktalórántházai,Szabolcs-Szatmár-Bereg,0.32141323344427075,196.9341487593105,4844580.059479037,1569042.642434359,-3275537.4170446782,0.3238758825678456
Szombathelyi,Vas,0.3144436108096772,987.7586860159282,24298863.675991833,24917549.98438379,618686.3083919585,1.0254615325490815
Gyulai,Békés,0.3087332005313875,322.50935457845907,7933730.122630093,6269286.173628857,-1664443.949001236,0.7902066337934042
Vásárosnaményi,Szabolcs-Szatmár-Bereg,0.30821549734177683,374.49826924486314,9212657.423423633,2983757.553806543,-6228899.86961709,0.32387588256784555
Dunaújvárosi,Fejér,0.3053240145012894,863.4228809380842,21240202.871076867,10863758.997233674,-10376443.873843193,0.5114715270458661
Mátészalkai,Szabolcs-Szatmár-Bereg,0.29883060104979453,649.0452025257376,15966511.982133146,5171168.159743452,-10795343.822389694,0.32387588256784544
Mohácsi,Baranya,0.29208544187594937,275.92897676389515,6787852.82839182,4882326.508141537,-1905526.320250283,0.7192740667151823
Ibrányi,Szabolcs-Szatmár-Bereg,0.28746851893968933,241.47858021762693,5940373.073353622,1923943.5719146694,-4016429.501438953,0.32387588256784555
Jánoshalmai,Bács-Kiskun,0.2850663831499843,147.849979569743,3637109.4974156776,1596614.8781890946,-2040494.619226583,0.4389790517232319
Budapest 19. ker.,főváros,0.28423331607849556,463.65185914225134,11405835.734899383,3688823.241232925,-7717012.493666458,0.3234154275908013
Egri,Heves,0.2822686570371555,783.2787536686718,19268657.340249326,8724498.001899153,-10544159.338350173,0.4527818336192522
Kapuvári,Győr-Moson-Sopron,0.2802915287965327,229.22313294918715,5638889.070550004,1809708.3980215294,-3829180.6725284746,0.32093349866962617
Letenyei,Zala,0.2787763422099585,119.68247434657115,2944188.8689256506,999594.4852536098,-1944594.383672041,0.3395143891085924
Bólyi,Baranya,0.26428471768673134,96.31213877882671,2369278.613959137,1704160.6638436986,-665117.9501154383,0.7192740667151821
Szentesi,Csongrád-Csanád,0.2631541657192228,315.7426216764204,7767268.493239942,4827882.069055697,-2939386.424184245,0.6215675527706465
Kiskunhalasi,Bács-Kiskun,0.2618168812282454,395.07975171972214,9718961.892305164,4266420.675218347,-5452541.217086816,0.4389790517232318
Pécsváradi,Baranya,0.2587570071368454,91.58216075243217,2252921.1545098317,1620467.76079295,-632453.3937168818,0.7192740667151821
Bácsalmási,Bács-Kiskun,0.2544246378377704,162.35012616210253,3993813.1035877224,1753200.2889727557,-2240612.8146149665,0.43897905172323176
Gyöngyösi,Heves,0.25056658999547354,635.8538880655566,15642005.646412693,7082415.9980654325,-8559589.64834726,0.452781833619252
Bélapátfalvai,Heves,0.2462031071137756,74.59512684160056,1835040.1203033738,830872.8304358545,-1004167.2898675193,0.45278183361925206
Esztergomi,Komárom-Esztergom,0.24196086555438964,880.1831593892781,21652505.720976237,14819081.12732654,-6833424.593649697,0.6844049052932614
Nagykállói,Szabolcs-Szatmár-Bereg,0.23793645819213122,313.98351481768634,7723994.4645150835,2501615.524143976,-5222378.940371107,0.32387588256784555
Makói,Csongrád-Csanád,0.23548276015396397,361.3367268046357,8888883.47939404,5525041.551150381,-3363841.9282436585,0.6215675527706463
Kiskunmajsai,Bács-Kiskun,0.2326307511636101,183.21397345330317,4507063.746951258,1978506.5696928196,-2528557.1772584384,0.43897905172323193
Nagykőrösi,Pest,0.23241498459357499,294.41971227235445,7242724.9218999185,1160000.182935334,-6082724.738964585,0.1601607399761693
Mórahalmi,Csongrád-Csanád,0.23049048047525528,229.48573759397803,5645349.144811859,3508965.8524765694,-2136383.29233529,0.6215675527706465
Ráckevei,Pest,0.23021237999884436,425.8561707988029,10476061.80165055,1677853.8101884332,-8798207.991462117,0.16016073997616928
Budapest 21. ker.,főváros,0.23011205603177817,585.7556913015893,14409590.006019095,4660283.713204803,-9749306.292814292,0.32341542759080133
Pécsi,Baranya,0.22965837206041093,1548.7551901539607,38099377.67778743,27403894.32161981,-10695483.356167622,0.7192740667151825
Székesfehérvári,Fejér,0.22818603894694828,1474.3836362482486,36269837.451706916,18550989.147129875,-17718848.30457704,0.511471527045866
Martonvásári,Fejér,0.22670045433605396,283.70340944040066,6979103.8722338565,3569612.914943167,-3409490.9572906895,0.511471527045866
Hódmezővásárhelyi,Csongrád-Csanád,0.22567926392209992,446.24369478358403,10977594.891676167,6823316.792126705,-4154278.099549462,0.6215675527706465
Kisbéri,Komárom-Esztergom,0.22441609132503465,185.08709449502393,4553142.524577589,3116193.0783202457,-1436949.446257343,0.6844049052932614
Kemecsei,Szabolcs-Szatmár-Bereg,0.22297188361679288,229.65423932791003,5649494.287466587,1829734.9484152424,-3819759.3390513444,0.32387588256784555
Móri,Fejér,0.22234905910186417,330.49751761104847,8130238.9332317915,4158385.7224278157,-3971853.210803976,0.5114715270458658
Nagykanizsai,Zala,0.2183067448327575,577.8090679838399,14214103.07240246,4825892.521353288,-9388210.551049173,0.3395143891085924
Kiskőrösi,Bács-Kiskun,0.2176875078088755,491.92921568875244,12101458.705943309,5312286.867202843,-6789171.838740466,0.4389790517232319
Záhonyi,Szabolcs-Szatmár-Bereg,0.21620677747073883,177.91238298020065,4376644.621312936,1417489.6394135414,-2959154.9818993947,0.3238758825678456
Budapest 20. ker.,főváros,0.21611515381428587,516.4027454680527,12703507.538514094,4108510.322471503,-8594997.216042591,0.3234154275908013
Budapest 10. ker.,főváros,0.21062253593176508,648.5592008155606,15954556.340062791,5159949.660742938,-10794606.679319855,0.32341542759080133
Budapest 14. ker.,főváros,0.20617799369276174,982.0854375776111,24159301.764409233,7813490.910431614,-16345810.853977619,0.3234154275908014
Kecskeméti,Bács-Kiskun,0.200453307434521,1547.242914913245,38062175.706865825,16708497.798322992,-21353677.908542834,0.4389790517232319
Bajai,Bács-Kiskun,0.19997915294819016,572.2785128457873,14078051.416006368,6179969.660709377,-7898081.75529699,0.43897905172323193
Csongrádi,Csongrád-Csanád,0.19904137952846943,176.38444597184204,4339057.370907314,2697017.271366295,-1642040.0995410192,0.6215675527706466
Tatai,Komárom-Esztergom,0.1980720362351353,381.4249261494775,9383053.183277147,6421807.62526243,-2961245.558014717,0.6844049052932614
Kisteleki,Csongrád-Csanád,0.19738054536748284,151.30080082426497,3721999.700276918,2313474.245114204,-1408525.4551627138,0.6215675527706466
Budapest 08. ker.,főváros,0.19457566223943998,670.0987229750614,16484428.585186511,5331318.519468123,-11153110.065718388,0.3234154275908013
Kiskunfélegyházi,Bács-Kiskun,0.19381194807988664,345.63985795705855,8502740.505743641,3732524.964260055,-4770215.541483587,0.4389790517232317
Kisvárdai,Szabolcs-Szatmár-Bereg,0.1897094353123962,567.3361877099799,13956470.217665505,4520164.109278267,-9436306.108387237,0.3238758825678456
Budapest 06. ker.,főváros,0.1894765204206601,328.46184704982835,8080161.437425776,2613248.8662877614,-5466912.571138015,0.32341542759080133
