district_id,district_name,county_id,county_name,nuts3_code,is_budapest_district,pop,jobseekers,jobseeker_rate,county_cases,pop_share,lambda,lambda_lo,lambda_hi,county_child_pop,pop_child,pop_u5,burden_rate,burden_rate_u5,komplex_mutato,kedvezmenyezett_290,komplex_program_290,deprivation_290,evidence_class,confidence,vacant_paed,vacant_any,vacant_paed_practice_rate
050,Orosházi,04,Békés,,False,28194.0,1139.25,0.04040753351776974,131,0.14216417910447762,18.623507462686568,9.311753731343284,27.935261194029852,41222,5860.291791044777,1992.4992089552243,317.79147057396534,9.346807958057804,4178,1,0,0.31129427613452626,estimated,low,4.0,5.0,14.187415762218912
051,Sarkadi,04,Békés,,False,12808.0,1022.3333333333333,0.07981990422652509,131,0.0645824929407019,8.460306575231948,4.230153287615974,12.690459862847923,41222,2662.2195240016135,905.1546381605486,317.7914705739654,9.346807958057804,2583,1,1,1.3253978392752281,estimated,low,3.0,8.0,23.422860712054966
052,Szarvasi,04,Békés,,False,15413.0,502.1666666666667,0.032580721901425205,131,0.07771782977006858,10.181035699878985,5.090517849939492,15.271553549818478,41222,3203.684378781767,1089.252688785801,317.7914705739654,9.346807958057804,4149,1,0,0.3297325227370845,estimated,low,5.0,6.0,32.44014792707455
053,Szeghalmi,04,Békés,,False,16695.0,898.75,0.0538334830787661,131,0.08418212989108512,11.027859015732151,5.5139295078660755,16.54178852359823,41222,3470.1557583703107,1179.8529578459056,317.7914705739654,9.346807958057806,3457,1,0,0.7697072347705426,estimated,low,6.0,8.0,35.93890386343217
054,Cigándi,05,Borsod-Abaúj-Zemplén,,False,9446.0,1497.3333333333333,0.1585150681064295,493,0.023578453397234286,11.624177524836503,5.812088762418251,17.436266287254753,100996,2381.329479307074,809.6520229644052,488.13814408491425,14.357004237791594,1863,1,1,1.7831749963042596,estimated,low,0.0,4.0,0.0
055,Edelényi,05,Borsod-Abaúj-Zemplén,,False,19794.0,2227.5833333333335,0.11253831127277628,493,0.04940841695372173,24.358349558184813,12.179174779092406,36.53752433727722,100996,4990.05247865808,1696.6178427437474,488.13814408491425,14.357004237791593,2734,1,1,1.2293917966205283,estimated,low,4.0,11.0,20.20814388198444
056,Encsi,05,Borsod-Abaúj-Zemplén,,False,13417.0,2291.0833333333335,0.170759732677449,493,0.033490589586141484,16.51086066596775,8.255430332983876,24.766290998951625,100996,3382.4155858419454,1150.0212991862616,488.13814408491425,14.357004237791593,2327,1,1,1.488163050663328,estimated,low,0.0,4.0,0.0
057,Gönci,05,Borsod-Abaúj-Zemplén,,False,10713.0,1551.5,0.14482404555213294,493,0.026741051370375916,13.183338325595326,6.591669162797663,19.775007488392987,100996,2700.739224202486,918.2513362288454,488.1381440849142,14.357004237791593,2211,1,1,1.561916037073561,estimated,low,0.0,4.0,0.0
058,Kazincbarcikai,05,Borsod-Abaúj-Zemplén,,False,38333.0,2609.75,0.06808102679153732,493,0.09568418950626528,47.172305426588785,23.586152713294393,70.75845813988317,100996,9663.72040337477,3285.664937147422,488.13814408491425,14.357004237791593,4287,1,0,0.2419919009731868,estimated,low,1.0,6.0,2.608718336681189
059,Mezőcsáti,05,Borsod-Abaúj-Zemplén,,False,8858.0,1080.5,0.12198013095506886,493,0.022110728371024912,10.900589086915282,5.450294543457641,16.350883630372923,100996,2233.095122560032,759.2523416704109,488.13814408491425,14.357004237791594,2750,1,1,1.2192189709087722,estimated,low,0.0,4.0,0.0
060,Mezőkövesdi,05,Borsod-Abaúj-Zemplén,,False,24624.0,1749.0833333333335,0.07103164933939789,493,0.06146472966901303,30.302111726823423,15.151055863411711,45.45316759023513,100996,6207.69183765164,2110.615224801558,488.13814408491425,14.357004237791593,4132,1,0,0.3405411500558255,estimated,low,2.0,8.0,8.122157244964262
061,Miskolci,05,Borsod-Abaúj-Zemplén,,False,144969.0,7186.500000000001,0.04957266725989695,493,0.36186161449752885,178.39777594728173,89.19888797364086,267.5966639209226,100996,36546.57561779243,12425.835710049427,488.13814408491425,14.357004237791593,5214,0,0,-0.3473961887016913,estimated,low,19.0,21.0,13.106250301788657
062,Ózdi,05,Borsod-Abaúj-Zemplén,,False,30881.0,4138.916666666667,0.13402793519208145,493,0.07708302131695871,38.00192950926064,19.00096475463032,57.002894263890965,100996,7785.076820927562,2646.9261191153714,488.1381440849142,14.357004237791593,2549,1,1,1.3470150939127101,estimated,low,7.0,13.0,22.66765972604514
063,Putnoki,05,Borsod-Abaúj-Zemplén,,False,11224.0,1158.3333333333333,0.10320147303397481,493,0.02801657430981978,13.81217113474115,6.906085567370575,20.718256702111727,100996,2829.5619389945587,962.05105925815,488.1381440849142,14.357004237791593,3010,1,1,1.053910553092733,estimated,low,0.0,5.0,0.0
064,Sárospataki,05,Borsod-Abaúj-Zemplén,,False,13515.0,1107.6666666666667,0.08195831791836232,493,0.033735210423843046,16.63145873895462,8.31572936947731,24.94718810843193,100996,3407.121311966452,1158.4212460685937,488.13814408491425,14.357004237791594,3964,1,0,0.4473558200292662,estimated,low,2.0,6.0,14.798372179060303
065,Sátoraljaújhelyi,05,Borsod-Abaúj-Zemplén,,False,12872.0,1268.4166666666667,0.09854076030660866,493,0.032130198192801156,15.84018770905097,7.920093854525485,23.760281563576456,100996,3245.0214966801454,1103.3073088712495,488.13814408491425,14.357004237791594,4231,1,0,0.2775967909643337,estimated,low,0.0,1.0,0.0
066,Szerencsi,05,Borsod-Abaúj-Zemplén,,False,23696.0,2437.0833333333335,0.10284787868557282,493,0.05914832010383905,29.160121811192653,14.580060905596326,43.74018271678898,100996,5973.743737207329,2031.072870650492,488.13814408491425,14.357004237791594,3122,1,0,0.9827007731104392,estimated,low,5.0,9.0,21.100607697501687
067,Szikszói,05,Borsod-Abaúj-Zemplén,,False,10769.0,1265.8333333333333,0.11754418547064104,493,0.02688083470620538,13.252251510159253,6.626125755079626,19.87837726523888,100996,2714.8567819879186,923.0513058758924,488.13814408491425,14.357004237791594,2575,1,1,1.3304842521311062,estimated,low,0.0,2.0,0.0
