district_id,s0_statusquo,s1_percapita,s2_epi,s3_socio,s4_capacity,s5_fullneed,s6_costgap,s7_statutory,district_name,county_id,county_name,nuts3_code,need_score,need_rank,score_socioeconomic,pop,lambda
065,0.0,5164661.709040807,11712649.88838433,16981648.244760055,56039.850966652164,12612430.186354935,2533158.8583845035,15694169.503858436,Sátoraljaújhelyi,05,Borsod-Abaúj-Zemplén,,0.6035634617600285,31,1.607896788426931,12872.0,15.84018770905097
066,0.0,9507599.740322478,21561758.21590702,32771305.83883039,22583830.901698794,25120691.136845674,4663279.390015476,28891317.632336035,Szerencsi,05,Borsod-Abaúj-Zemplén,,0.8169034810665413,6,1.7431010649502483,23696.0,29.160121811192653
067,0.0,4320870.256732477,9799062.04537064,17234738.51677763,46884.17923087921,10784671.589693429,2119296.74844179,13130089.448962979,Szikszói,05,Borsod-Abaúj-Zemplén,,0.6610128488303547,25,2.204431205339315,10769.0,13.252251510159253
068,0.0,8039089.652139652,18231405.62178904,13736937.98288207,87229.21488252353,18526441.871436633,3943005.8177899257,0.0,Tiszaújvárosi,05,Borsod-Abaúj-Zemplén,,0.4569505683946729,59,0.26334019501785216,20036.0,24.656152962907495
069,0.0,2998408.7128388705,6799924.845858927,9440069.416082878,4528668.118233843,7657860.346255176,1470656.9413228245,9111445.672959452,Tokaji,05,Borsod-Abaúj-Zemplén,,0.7228761229493005,15,1.4889711105450574,7473.0,9.196218361539612
070,0.0,5137779.147317241,4890308.791826377,3644473.585011687,55748.15814387671,4447798.766847371,1057653.8319083508,15612479.83972244,Csongrádi,06,Csongrád-Csanád,,0.19904137952846943,135,-0.587539691278204,12805.0,6.613653610065992
071,0.0,12998320.441740673,12372233.004295766,6099921.885561564,9133306.97911592,11389013.706209693,2675810.506716355,39498781.48283078,Hódmezővásárhelyi,06,Csongrád-Csanád,,0.22567926392209992,123,-0.7919227545229045,32396.0,16.732207915009592
072,0.0,4407135.193606605,4194857.615729865,3053473.0063515413,47820.208438293,3812395.472142238,907244.8020055701,13392227.92342923,Kisteleki,06,Csongrád-Csanád,,0.19738054536748284,137,-0.6015877439394804,10984.0,5.673125439513069
073,0.0,10525124.763172656,10018163.235235417,7862343.776831476,4610337.754986752,9262641.901766486,2166682.961235444,31983332.38231933,Makói,06,Csongrád-Csanád,,0.23548276015396397,114,-0.5554776866503747,26232.0,13.548563959332377
074,0.0,6684529.5270835785,6362557.1629697345,3525937.6901386594,4568664.863947845,5869586.630189793,1376065.04018689,20312683.649338216,Mórahalmi,06,Csongrád-Csanád,,0.23049048047525528,117,-0.7423796717938634,16660.0,8.604722307200268
